origin_date_first,target_date,actual_first,persistence_first,arima_first,vs_first,actual_second,persistence_second,arima_second,vs_second,ensemble_second,actual_parity,parity_second
2025-03-09,2025-03-16,6.43,6.43,6.4266244268918,3.682658232988812,6.43,6.43,6.426666140683042,6.43691992699214,6.429742276575771,6.43,6.4092280478432855
2025-03-16,2025-03-23,6.4,6.43,6.43,3.641600768200234,6.4,6.43,6.43,6.437036440435306,6.432110932130591,6.4,6.423855167027921
2025-03-23,2025-03-30,6.38,6.4,6.389873280675402,3.657474958447706,6.38,6.4,6.389998422049128,6.407094251257657,6.395127170811686,6.38,6.401216768177615
2025-03-30,2025-04-06,6.33,6.38,6.3732488537836005,3.688420791055648,6.33,6.38,6.373332281366085,6.37711427857105,6.374466880527574,6.33,6.378268267069147
2025-04-06,2025-04-13,6.28,6.33,6.313122134459001,3.717842726792638,6.28,6.33,6.313330703415214,6.331809550812732,6.318874357634469,6.28,6.297485724880794
2025-04-13,2025-04-20,6.26,6.28,6.263122134459001,3.606532542848151,6.26,6.28,6.263330703415213,6.283312823524882,6.2693253394481125,6.26,6.269137981085555
2025-04-20,2025-04-27,6.22,6.26,6.2532488537836,3.575343115576994,6.22,6.26,6.253332281366085,6.264995819777018,6.256831342889365,6.22,6.26441448152251
2025-04-27,2025-05-04,6.19,6.22,6.206497707567201,3.654273016555681,6.19,6.22,6.20666456273217,6.219444753365042,6.210498619922031,6.19,6.204092494841752
2025-05-04,2025-05-11,6.14,6.19,6.179873280675401,3.845171265900353,6.14,6.19,6.179998422049128,6.191775696370982,6.183531604345685,6.14,6.160133792891403
2025-05-11,2025-05-18,6.1,6.14,6.123122134459001,2.4056205982092185,6.1,6.14,6.123237384009643,6.141051626871094,6.128581656868079,6.1,6.135986943704137
2025-05-18,2025-05-25,6.06,6.1,6.086497707567201,2.644338691318709,6.06,6.1,6.086589907207714,6.102375303186972,6.091325526001491,6.06,6.09939551239796
2025-05-25,2025-06-01,6.05,6.06,6.046559368939041,4.013424135828165,6.05,6.06,6.046589907207714,6.062877454797205,6.051476171484561,6.05,6.045230117368896
2025-06-01,2025-06-08,6.02,6.05,6.04663984223476,4.034707525492237,6.02,6.05,6.046647476801929,6.054894150547411,6.0491214789255725,6.02,6.038149382950481
2025-06-08,2025-06-15,6.02,6.02,6.009919526704281,4.0442844769060144,6.02,6.02,6.009942430405785,6.024569886447199,6.014330667218209,6.02,6.019296698135133
2025-06-15,2025-06-22,6.05,6.02,6.02,3.9808014666939338,6.05,6.02,6.02,6.025763764427118,6.021729129328135,6.05,6.043081257408242
2025-06-22,2025-06-29,6.05,6.05,6.060080473295718,3.694084735299272,6.05,6.05,6.060057569594214,6.056636199012937,6.05903115841983,6.05,6.072944811306516
2025-06-29,2025-07-06,6.04,6.05,6.05,3.7920937046740057,6.04,6.05,6.05,6.05631395403997,6.051894186211991,6.04,6.026733569476971
2025-07-06,2025-07-13,6.03,6.04,6.03663984223476,4.167073243929529,6.03,6.04,6.036647476801929,6.046102304283642,6.039483925046443,6.03,6.044468682475058
2025-07-13,2025-07-20,6.03,6.03,6.0266398422347605,4.167615993309523,6.03,6.03,6.026647476801929,6.0365149627793295,6.029607722595149,6.03,6.037775346091835
2025-07-20,2025-07-27,6.04,6.03,6.03,4.102018775650204,6.04,6.03,6.03,6.03821491587972,6.032464474763916,6.04,6.029537727334237
2025-07-27,2025-08-03,6.06,6.04,6.04336015776524,4.158711140459757,6.06,6.04,6.043352523198071,6.048594497602749,6.044925115519474,6.06,6.038257465105743
2025-08-03,2025-08-10,6.06,6.06,6.066720315530478,4.222985997272884,6.06,6.06,6.066705046396142,6.068936017229261,6.067374337646077,6.06,6.055325727395204
2025-08-10,2025-08-17,6.07,6.06,6.06,4.218015955882749,6.07,6.06,6.06,6.068620864186387,6.062586259255915,6.07,6.05315282219568
2025-08-17,2025-08-24,6.07,6.07,6.07336015776524,4.105656696443191,6.07,6.07,6.073358749156918,6.079034631759378,6.075061513937655,6.07,6.06603697921754
